1,2274,387.83,158.47,100.51,182.14,1,-1,-1,-1
1,2273,477.42,133.57,60.97,206.67,1,-1,-1,-1
2,2274,415.57,156.44,91.03,180.40,1,-1,-1,-1
2,2273,499.91,136.94,64.18,207.70,1,-1,-1,-1
3,2274,423.52,157.99,85.95,179.82,1,-1,-1,-1
3,2273,500.92,125.44,67.83,208.26,1,-1,-1,-1
4,2274,436.54,153.57,84.67,188.92,1,-1,-1,-1
4,2273,514.20,133.49,62.46,207.22,1,-1,-1,-1
5,2274,453.58,154.32,74.00,185.24,1,-1,-1,-1
5,2273,522.13,126.29,73.69,220.39,1,-1,-1,-1
6,2274,462.44,155.01,79.30,187.09,1,-1,-1,-1
6,2273,534.99,137.71,69.92,214.00,1,-1,-1,-1
7,2274,477.45,150.89,76.65,191.50,1,-1,-1,-1
7,2273,548.71,138.48,67.79,208.48,1,-1,-1,-1
8,2274,490.84,153.68,73.22,184.48,1,-1,-1,-1
8,2273,558.53,139.62,64.18,200.59,1,-1,-1,-1
9,2274,504.86,160.02,70.40,183.50,1,-1,-1,-1
9,2273,574.82,139.72,60.21,199.61,1,-1,-1,-1
10,2274,520.50,156.07,72.09,186.34,1,-1,-1,-1
10,2273,583.58,135.56,60.92,200.21,1,-1,-1,-1
11,2274,531.41,157.16,75.56,185.90,1,-1,-1,-1
11,2273,600.16,143.22,60.16,197.30,1,-1,-1,-1
12,2274,546.49,155.30,78.31,190.25,1,-1,-1,-1
12,2273,613.74,146.24,60.93,199.48,1,-1,-1,-1
13,2274,559.85,154.16,88.45,199.84,1,-1,-1,-1
13,2273,627.82,149.33,64.08,201.97,1,-1,-1,-1
14,2275,257.83,133.24,74.49,177.39,1,-1,-1,-1
14,2274,574.08,157.13,85.97,198.52,1,-1,-1,-1
14,2273,642.70,151.60,60.87,203.93,1,-1,-1,-1
15,2276,492.85,138.56,32.72,59.98,1,-1,-1,-1
15,2275,272.46,135.35,73.85,164.54,1,-1,-1,-1
15,2274,591.85,153.14,83.97,203.20,1,-1,-1,-1
15,2273,654.87,151.05,63.37,207.44,1,-1,-1,-1
16,2275,280.98,139.74,78.83,179.32,1,-1,-1,-1
16,2274,594.36,151.38,84.48,203.30,1,-1,-1,-1
16,2273,662.97,148.59,66.34,211.64,1,-1,-1,-1
17,2275,292.59,126.38,85.32,202.62,1,-1,-1,-1
17,2274,601.91,146.69,100.03,211.37,1,-1,-1,-1
17,2273,677.36,145.44,70.36,212.10,1,-1,-1,-1
18,2278,492.30,131.73,36.24,71.15,1,-1,-1,-1
18,2275,306.32,122.43,91.64,213.10,1,-1,-1,-1
18,2274,611.62,147.23,99.39,213.82,1,-1,-1,-1
18,2273,691.98,147.86,71.12,214.31,1,-1,-1,-1
19,2275,307.42,104.67,102.55,229.63,1,-1,-1,-1
19,2274,624.85,150.81,97.25,212.81,1,-1,-1,-1
19,2273,701.22,146.18,71.52,212.01,1,-1,-1,-1
20,2275,327.98,116.74,93.05,214.38,1,-1,-1,-1
20,2274,644.53,149.46,89.90,210.19,1,-1,-1,-1
20,2273,714.91,136.49,69.46,209.89,1,-1,-1,-1
21,2277,268.68,136.10,80.15,207.17,1,-1,-1,-1
21,2275,344.43,122.19,88.56,214.59,1,-1,-1,-1
21,2274,657.87,148.95,87.43,213.86,1,-1,-1,-1
21,2273,722.91,139.02,75.68,218.41,1,-1,-1,-1
22,2282,1026.38,143.84,115.51,228.53,1,-1,-1,-1
22,2280,502.59,129.17,40.07,74.11,1,-1,-1,-1
22,2277,282.17,137.86,80.96,209.60,1,-1,-1,-1
22,2275,356.84,130.71,86.32,212.81,1,-1,-1,-1
22,2274,678.91,148.61,98.66,211.72,1,-1,-1,-1
23,2282,990.27,146.12,123.50,231.55,1,-1,-1,-1
23,2280,509.55,125.93,41.02,74.50,1,-1,-1,-1
23,2277,296.73,129.65,80.01,214.44,1,-1,-1,-1
23,2275,381.75,126.96,86.29,210.87,1,-1,-1,-1
23,2274,696.94,149.26,104.25,213.73,1,-1,-1,-1
24,2282,963.45,149.45,116.05,225.84,1,-1,-1,-1
24,2280,511.32,133.14,34.91,69.21,1,-1,-1,-1
24,2277,309.55,131.03,82.89,213.28,1,-1,-1,-1
24,2275,393.81,134.66,84.83,201.64,1,-1,-1,-1
24,2274,708.91,146.92,110.54,219.14,1,-1,-1,-1
25,2282,933.88,149.79,108.79,215.30,1,-1,-1,-1
25,2280,516.11,128.99,31.85,65.46,1,-1,-1,-1
25,2277,319.94,122.31,87.23,222.70,1,-1,-1,-1
25,2275,394.91,132.41,88.23,200.67,1,-1,-1,-1
25,2274,722.36,144.23,103.56,217.90,1,-1,-1,-1
25,2273,791.23,146.01,74.86,209.73,1,-1,-1,-1
26,2282,913.37,151.99,97.97,210.93,1,-1,-1,-1
26,2280,508.94,135.77,36.08,57.21,1,-1,-1,-1
